,Name,wikidata,Wikipedia_URL,Wikidata_URL,Wikidata_Q,lang,n_lang,Outlinks,Inlinks,gender_Q,gender,occupation_Q,occupation,religion_Q,religion,date_of_birth_Q,date_of_birth,date_of_death_Q,date_of_death,place_of_birth_Q,place_of_birth,place_of_death_Q,place_of_death,spouse_Q,spouse,child_Q,child,father_Q,father,mother_Q,mother,prop_list,prop_notability_list,n_prop_list,n_prop_notability_list
0,Ceolwulf,Y,https://en.wikipedia.org/wiki/Ceolwulf_of_Northumbria,http://www.wikidata.org/entity/Q729480,Q729480,"['bar', 'ca', 'de', 'el', 'en', 'eo', 'es', 'fr', 'gl', 'it', 'la', 'nl', 'pl', 'ru', 'uk']",15,"{'Q154938': 'Bede', 'Q338268': 'Acca of Hexham', 'Q880242': 'Osric of Northumbria', 'Q880235': 'Eadberht of Northumbria', 'Q3049131': 'Ecgbert of York', 'Q5332353': 'Ecgred of Lindisfarne'}","{'Q737618': 'Aldfrith of Northumbria', 'Q154938': 'Bede', 'Q103268': 'Pope Gregory III', 'Q889974': 'Coenred of Northumbria', 'Q880242': 'Osric of Northumbria', 'Q5504762': 'Frithubeorht', 'Q880235': 'Eadberht of Northumbria', 'Q3049131': 'Ecgbert of York'}",http://www.wikidata.org/entity/Q6581097,male,"['http://www.wikidata.org/entity/Q733786', 'http://www.wikidata.org/entity/Q2304859']","['sovereign', 'monk']",,,0695-01-01T00:00:00Z,0695-01-01T00:00:00Z,0765-01-19T00:00:00Z,0765-01-19T00:00:00Z,,,http://www.wikidata.org/entity/Q213804,Lindisfarne,,,,,http://www.wikidata.org/entity/Q75451525,Cuðwin (?),,,"['P27', 'P646', 'P569', 'P1185', 'P1343', 'P227', 'P97', 'P570', 'P3373', 'P2625', 'P6126', 'P3241', 'P106', 'P39', 'P214', 'P1871', 'P31', 'P1711', 'P7902', 'P1415', 'P4638', 'P7859', 'P22', 'P1819', 'P21', 'P411', 'P106', 'P841', 'P20']","['P227', 'P6126', 'P7902', 'P1415']",29,4
1,Bede,Y,https://en.wikipedia.org/wiki/Bede,http://www.wikidata.org/entity/Q154938,Q154938,"['yue', 'ast', 'ca', 'cy', 'da', 'en', 'es', 'eu', 'gl', 'nl', 'nn', 'pt', 'ang', 'ar', 'arz', 'be', 'be-tarask', 'bg', 'bn', 'br', 'cs', 'de', 'el', 'en-simple', 'eo', 'fa', 'fi', 'fr', 'fy', 'ga', 'he', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'ka', 'ko', 'la', 'lmo', 'lt', 'lv', 'mg', 'ml', 'nb', 'pl', 'ro', 'ru', 'sco', 'sh', 'sk', 'sl', 'sq', 'sr', 'sv', 'sw', 'ta', 'th', 'tl', 'tr', 'uk', 'vi', 'war', 'wuu', 'zh', 'frr']",68,"{'Q43689': 'Ambrose', 'Q254896': 'Anastasius of Persia', 'Q2524557': 'Anatolius of Laodicea', 'Q1067': 'Dante Alighieri', 'Q363827': 'Constantius of Lyon', 'Q1398': 'Virgil', 'Q1541449': 'Walter Goffart', 'Q1392362': 'Nothhelm', 'Q16002399': 'Albinus (abbot)', 'Q274091': 'Dionysius Exiguus', 'Q17999440': 'Monk', 'Q733786': 'Monk', 'Q7147862': 'Patrick Wormald', 'Q3059269': 'Æthelburh of Barking', 'Q154332': 'Alcuin', 'Q709718': 'Aldhelm', 'Q32520': 'Augustine of Canterbury', 'Q8018': 'Augustine of Hippo', 'Q552201': 'Benedict Biscop', 'Q46820757': 'Benedicta Ward', 'Q2308616': 'Frank Stenton', 'Q188344': 'Geoffrey of Monmouth', 'Q160445': 'Saint Boniface', 'Q1059081': 'Cosmos', 'Q719721': 'Wilfrid', 'Q43115': 'Saint', 'Q107441896': 'Saint', 'Q743781': 'Anno Mundi', 'Q43939': 'Anselm of Canterbury', 'Q29282': 'Archbishop of Canterbury', 'Q1363910': 'Archbishop of York', 'Q314694': 'Eutropius (historian)', 'Q741149': 'Polydore Vergil', 'Q42827': 'Pope Gregory I', 'Q43922': 'Pope Leo XIII', 'Q173086': 'Pope Sergius I', 'Q172048': 'Terence', 'Q82778': 'Pliny the Elder', 'Q44011': 'Gregory of Nazianzus', 'Q439096': 'Barbara Yorke', 'Q782155': 'Jarrow', 'Q711332': 'Matthew Parker', 'Q355350': 'Maurus Servius Honoratus', 'Q354813': 'Notker the Stammerer', 'Q5571656': 'Glossa Ordinaria', 'Q1235472': 'Henry of Huntingdon', 'Q65210571': 'Henry of Huntingdon', 'Q201788': 'Historian', 'Q6197': 'Horace', 'Q6832088': 'Michael Lapidge', 'Q2483353': 'Stephen of Ripon', 'Q134461': 'Josephus', 'Q352995': 'Gildas', 'Q44258': 'Basil of Caesarea', 'Q166876': 'Isidore of Seville', 'Q120132': 'Adomnán', 'Q1052577': 'Cedd', 'Q742311': 'Chad of Mercia', 'Q3044': 'Charlemagne', 'Q1541': 'Cicero', 'Q67405713': 'Cicero', 'Q336704': 'Sulpicius Severus', 'Q31929': 'Carolingian Empire', 'Q192365': 'Cassiodorus', 'Q1702263': 'John of Beverley', 'Q504518': 'Cuthbert', 'Q190240': 'Cyprian', 'Q44079': 'Cyril of Alexandria', 'Q770212': 'Annianus of Alexandria', 'Q159791': 'Anno Domini', 'Q67841': 'Gregory of Tours', 'Q26825': 'Herodotus', 'Q1054504': 'Ceolfrith', 'Q729480': 'Ceolwulf of Northumbria', 'Q15093618': 'J. Doyle Penrose', 'Q44248': 'Jerome', 'Q61482267': 'Jerome', 'Q313795': 'John Cassian', 'Q43706': 'John Chrysostom', 'Q132473': 'Paulinus of Nola', 'Q506645': 'Paulinus of York', 'Q332123': 'Penda of Mercia', 'Q186153': 'Procopius', 'Q454652': 'Prosper of Aquitaine', 'Q151403': 'Thomas Carlyle', 'Q47160': 'Plautus', 'Q348955': 'Edwin of Northumbria', 'Q1048': 'Julius Caesar', 'Q47154': 'Lucretius', 'Q170472': 'Origen', 'Q311456': 'Orosius', 'Q7198': 'Ovid', 'Q160424': 'Paul the Deacon', 'Q518544': 'Paul the Deacon', 'Q5219187': 'Daniel of Winchester', 'Q3049131': 'Ecgbert of York', 'Q142999': 'Eusebius', 'Q321225': 'Evagrius of Antioch', 'Q380089': 'Fulgentius of Ruspe', 'Q932714': 'Fulgentius of Ruspe', 'Q442516': 'Germanus of Auxerre', 'Q261097': 'Æthelthryth', 'Q1662957': 'Julian of Eclanum', 'Q771953': 'Saint Fursey', 'Q15734412': 'Robin Fleming', 'Q336016': 'Oswald of Northumbria'}","{'Q671299': 'Amphibalus', 'Q254896': 'Anastasius of Persia', 'Q2524557': 'Anatolius of Laodicea', 'Q1274084': 'Adrian of Canterbury', 'Q4722875': 'Alfred Holder', 'Q96490': 'Aquilinus of Milan', 'Q638294': 'Arculf', 'Q894757': 'Botwulf of Thorney', 'Q326585': 'Vortigern', 'Q622223': 'Finan of Lindisfarne', 'Q269875': 'Seaxburh of Ely', 'Q722953': 'Severian of Gabala', 'Q5951839': 'Hwaetberht', 'Q1392362': 'Nothhelm', 'Q447384': 'Victoria, Anatolia, and Audax', 'Q17309171': 'Robert Hussey', 'Q36354238': 'Kyneburga, Kyneswide and Tibba', 'Q706356': 'Ricberht of East Anglia', 'Q6534663': 'Leuthere', 'Q686948': 'Alban of Mainz', 'Q471392': 'Albert of Stade', 'Q16002399': 'Albinus (abbot)', 'Q737618': 'Aldfrith of Northumbria', 'Q542776': 'Deusdedit of Canterbury', 'Q4164975': 'Devil in Christianity', 'Q274091': 'Dionysius Exiguus', 'Q363776': 'Diuma', 'Q45792': 'King Arthur', 'Q7787310': 'Thomas Bainbrigg (controversialist)', 'Q1335364': 'John of Worcester', 'Q8039193': 'Wulfstan the Cantor', 'Q3717838': 'Æbbe of Coldingham', 'Q272148': 'Æthelbald of Mercia', 'Q272173': 'Æthelberht of Kent', 'Q3059269': 'Æthelburh of Barking', 'Q272196': 'Æthelfrith', 'Q54087217': 'Æthelred and Æthelberht', 'Q272250': 'Æthelric of Deira', 'Q272275': 'Æthelwold of East Anglia', 'Q495540': 'Hlothhere of Kent', 'Q3062478': 'Melchior (magus)', 'Q132148': 'Aidan of Lindisfarne', 'Q154332': 'Alcuin', 'Q709718': 'Aldhelm', 'Q83476': 'Alfred the Great', 'Q4798463': 'Arthur Dimmock', 'Q428905': 'Asser', 'Q32520': 'Augustine of Canterbury', 'Q8018': 'Augustine of Hippo', 'Q16943941': 'Bede Jarrett', 'Q552201': 'Benedict Biscop', 'Q44265': 'Benedict of Nursia', 'Q46820757': 'Benedicta Ward', 'Q708924': 'Berthun of Sussex', 'Q18645839': 'Frank Roper (artist)', 'Q188344': 'Geoffrey of Monmouth', 'Q160445': 'Saint Boniface', 'Q48438': 'Saint George', 'Q5685093': 'Saint Peter', 'Q33923': 'Saint Peter', 'Q96906242': 'Sallie Rochester Ford', 'Q558536': 'Sæberht of Essex', 'Q1290853': 'Tatwine', 'Q381292': 'Cædmon', 'Q594031': 'Cælin', 'Q5208697': 'Dagán', 'Q3119804': 'Wighard', 'Q888048': 'Wihtred of Kent', 'Q719721': 'Wilfrid', 'Q451820': 'Saint Reparata', 'Q377801': 'Elfodd', 'Q2876265': 'Romanus (bishop of Rochester)', 'Q2170683': 'Rowena', 'Q1568111': 'Rumwold of Buckingham', 'Q369691': 'Saint Ursula', 'Q7160868': 'Pehthelm', 'Q743781': 'Anno Mundi', 'Q333028': 'Enoch Powell', 'Q345': 'Mary, mother of Jesus', 'Q15998548': 'Mary Molloy', 'Q263459': ""Pontius Pilate's wife"", 'Q19546': 'Pope', 'Q170299': 'Pope Boniface V', 'Q101090': 'Pope Eleutherius', 'Q450675': 'Pope Francis', 'Q42827': 'Pope Gregory I', 'Q43922': 'Pope Leo XIII', 'Q5309696': 'Dryhthelm', 'Q699662': 'Giovanni Battista de Rossi', 'Q4309819': 'Máel Dub', 'Q1544096': 'Martinian and Processus', 'Q366198': 'Mellitus', 'Q6832423': 'Michael Maclagan', 'Q7330239': 'Richard of Poitiers', 'Q2480751': 'Ælfflæd of Whitby', 'Q3387485': 'Peter of Canterbury', 'Q5607240': 'Gregory of Huntingdon', 'Q878702': 'Tytila of East Anglia', 'Q571780': 'Lambert of Hersfeld', 'Q672738': 'Bosa of York', 'Q4967960': 'Brihthelm (bishop of Selsey)', 'Q1679333': 'Jakob Schipper', 'Q20676194': 'James Campbell (historian)', 'Q782155': 'Jarrow', 'Q2714345': 'Brochwel Ysgithrog', 'Q6792669': 'Maureen Duffy', 'Q5083222': 'Charles W. Jones (medievalist)', 'Q51885': 'Thecla', 'Q74541': 'Jakob Twinger von Königshofen', 'Q3160371': 'James the Deacon', 'Q880230': 'Sigeberht the Good', 'Q2898857': 'Bernard the Pilgrim', 'Q1269112': 'Ninian', 'Q354813': 'Notker the Stammerer', 'Q5606705': 'Gregorian Antiphonary', 'Q1235472': 'Henry of Huntingdon', 'Q65210571': 'Henry of Huntingdon', 'Q966807': 'Hering son of Hussa', 'Q257500': 'Hilda of Whitby', 'Q503207': 'Honorius of Canterbury', 'Q1637357': 'Humbert (bishop of Würzburg)', 'Q451580': 'Ine of Wessex', 'Q5628490': 'H. R. Loyn', 'Q2199411': 'Lucius of Britain', 'Q5656491': 'Hardwicke Rawnsley', 'Q455874': 'Regino of Prüm', 'Q1383306': 'Remigius of Auxerre', 'Q2483353': 'Stephen of Ripon', 'Q1301757': 'Four Crowned Martyrs', 'Q922068': 'Claudius of Turin', 'Q236326': 'Columba', 'Q208141': 'Common Era', 'Q475760': 'Alhfrith', 'Q2831893': 'Alpinus of Lyon', 'Q706398': 'Alric of Kent', 'Q66299': 'Ava (poet)', 'Q1245028': 'John Speed', 'Q7272527': 'Quintus Laberius Durus', 'Q525623': 'Liudhard', 'Q181983': 'Polemius Silvius', 'Q639247': 'Rudolf of Fulda', 'Q4867429': 'Basilides, Cyrinus, Nabor and Nazarius', 'Q4054692': 'Aberdeen Breviary', 'Q4763644': 'Anglo-Latin literature', 'Q859299': 'Anianus of Celeda', 'Q4766445': 'Ann Hawkshaw', 'Q166876': 'Isidore of Seville', 'Q1147951': 'Cynddylan', 'Q5199948': 'Cynibil', 'Q1374017': 'Ethiopian eunuch', 'Q16850561': 'John of Wallingford (d. 1258)', 'Q241423': 'Juliana of Nicomedia', 'Q338268': 'Acca of Hexham', 'Q120132': 'Adomnán', 'Q2826852': 'Agilbert', 'Q112683676': 'Cameron Ashplant', 'Q317457': 'Causantín mac Cináeda', 'Q1052577': 'Cedd', 'Q725542': 'Chad Varah', 'Q742311': 'Chad of Mercia', 'Q1064881': 'Charles Holden', 'Q309922': 'Chlothar III', 'Q1400866': 'Franks Casket', 'Q3155921': 'Ithamar (bishop)', 'Q665453': 'Abraham Wheelocke', 'Q192365': 'Cassiodorus', 'Q965843': 'Hugh de Puiset', 'Q317554': 'Hugh of Saint Victor', 'Q4876071': 'Beadsman', 'Q4879041': 'Bede Professor of Catholic Theology', 'Q818588': 'Beorhtwulf of Mercia', 'Q16203792': 'Bercthun', 'Q347940': 'Laurence of Canterbury', 'Q3746719': 'Flores Historiarum', 'Q7787391': 'Thomas Barlow (bishop)', 'Q15072631': 'Thomas Bedford (historian)', 'Q743121': 'Wuffa of East Anglia', 'Q16207995': 'Seaxwulf', 'Q18671384': 'Henry Harcourt (Jesuit)', 'Q3133532': 'Herbert of Derwentwater', 'Q1702263': 'John of Beverley', 'Q164499': 'Wulfhere of Mercia', 'Q6949561': 'Máel Umai mac Báetáin', 'Q518935': 'Wiglaf of Mercia', 'Q110323341': 'Priscian', 'Q356433': 'Priscian', 'Q463600': 'Saint Petronilla', 'Q715856': 'Coenred of Mercia', 'Q889974': 'Coenred of Northumbria', 'Q5141451': 'Coifi', 'Q743095': 'Creoda of Mercia', 'Q1080901': 'Domninus of Fidenza', 'Q2665455': 'Nechtan mac Der-Ilei', 'Q645857': 'Niall of the Nine Hostages', 'Q738733': 'Octa of Kent', 'Q879949': 'Osric of Deira', 'Q880242': 'Osric of Northumbria', 'Q879940': 'Oswine of Deira', 'Q622216': 'Patriarch of Alexandria', 'Q647400': 'Saint Nicomedes', 'Q1234687': 'William of Newburgh', 'Q139475': 'Zacharias Chrysopolitanus', 'Q60748402': 'Jordan of Bristol', 'Q3298071': 'Putta', 'Q499807': 'Pybba of Mercia', 'Q5194713': 'Curetán', 'Q504518': 'Cuthbert', 'Q5199923': 'Cyneberht of Lindsey', 'Q503057': 'Cynegils', 'Q44079': 'Cyril of Alexandria', 'Q545062': 'Cædwalla of Wessex', 'Q559247': 'Anna of East Anglia', 'Q2075720': 'Annemund', 'Q770212': 'Annianus of Alexandria', 'Q159791': 'Anno Domini', 'Q67841': 'Gregory of Tours', 'Q2511840': 'Arwald', 'Q715547': 'Mandubracius', 'Q3832963': 'British Latin', 'Q2454699': 'Cadwaladr', 'Q962398': 'Cadwallon ap Cadfan', 'Q545010': 'Centwine of Wessex', 'Q544106': 'Cenwalh of Wessex', 'Q1054504': 'Ceolfrith', 'Q742237': 'Ceolred of Mercia', 'Q729480': 'Ceolwulf of Northumbria', 'Q2606192': 'Ceretic of Elmet', 'Q15438001': 'Richard J. Denning', 'Q19335573': 'Robert Austin Markus', 'Q4480289': 'Robert Fabyan', 'Q3778505': 'Robin Flower', 'Q5213729': 'Dan I of Denmark', 'Q824310': 'Theonistus', 'Q272193': 'Æthelhere of East Anglia', 'Q5679249': 'Haskins Medal', 'Q367374': 'William de St-Calais', 'Q16239923': 'Hildelith', 'Q10985758': 'Joseph Bayma', 'Q15093618': 'J. Doyle Penrose', 'Q6107330': 'J. W. Burrow', 'Q2729231': 'Jarrow March', 'Q459606': 'Ambrosius Aurelianus', 'Q3401960': 'Fagan (saint)', 'Q1357293': 'Felix of Burgundy', 'Q5443683': 'Fenwick Lawson', 'Q809312': 'Bartholomeus Anglicus', 'Q97367054': ""Jennifer O'Reilly"", 'Q158825': 'Jeremiah', 'Q13129321': 'John Barnard Jenkins', 'Q3432183': 'John Bede Polding', 'Q6239493': 'John Hodgson (antiquary)', 'Q506645': 'Paulinus of York', 'Q332123': 'Penda of Mercia', 'Q4295': 'Peter Abelard', 'Q175366': 'Quintin Hogg, Baron Hailsham of St Marylebone', 'Q446625': 'R. A. B. Mynors', 'Q97933094': 'R. A. B. Mynors', 'Q1976986': 'Thomas the Rhymer', 'Q1121669': 'Ticonius', 'Q160714': 'Willibrord', 'Q4020378': 'Wine (bishop)', 'Q107694787': 'Wulfhad and Ruffin', 'Q617837': 'Eorcenberht of Kent', 'Q768925': 'Eormenric of Kent', 'Q888953': 'Eorpwald of East Anglia', 'Q888499': 'Eowa of Mercia', 'Q5504762': 'Frithubeorht', 'Q6042053': 'Insufflation', 'Q729723': 'Peada of Mercia', 'Q17053580': 'Wilgils', 'Q16982896': 'Literature of England', 'Q77476935': 'R. E. Latham', 'Q5324901': 'Eadberht of Selsey', 'Q1276699': 'Eadhæd', 'Q888956': 'Ealdwulf of East Anglia', 'Q881239': 'Eanfrith of Bernicia', 'Q5325617': 'Eanswith', 'Q888700': 'Ecgric of East Anglia', 'Q348955': 'Edwin of Northumbria', 'Q302972': 'Julius and Aaron', 'Q453924': 'Justus', 'Q647314': 'Byrhtferth', 'Q233573': 'Offa of Mercia', 'Q366509': 'Ohthere of Hålogaland', 'Q740991': 'Oisc of Kent', 'Q278330': 'Osgyth', 'Q494741': 'Osred I of Northumbria', 'Q468847': 'Oswiu', 'Q16728065': 'Clare Stancliffe', 'Q509072': 'Sigeberht of East Anglia', 'Q289352': 'Elafius', 'Q615260': 'William of Conches', 'Q2002608': 'Ermenilda of Ely', 'Q1767431': 'John Stevens (translator)', 'Q7455543': 'Servandus and Cermanus', 'Q272197': 'Æthelheard of Wessex', 'Q504529': 'Theodore of Tarsus', 'Q16197502': 'Boisil', 'Q1996453': 'Balthazar (magus)', 'Q4904827': 'Bifus', 'Q9200': 'Paul the Apostle', 'Q160424': 'Paul the Deacon', 'Q518544': 'Paul the Deacon', 'Q15994713': 'Rosemary Cramp', 'Q5219187': 'Daniel of Winchester', 'Q5316205': 'Durandus of Troarn', 'Q4356466': 'Dynod Bwr', 'Q5320441': 'Dúnán', 'Q468842': 'Eadbald of Kent', 'Q1276696': 'Eadfrith of Lindisfarne', 'Q291529': 'Eanflæd', 'Q5326673': 'Early Irish literature', 'Q108636': 'Easter Bunny', 'Q93667': 'Eata of Hexham', 'Q458841': 'Ebroin', 'Q880215': 'Ecgberht of Kent', 'Q3049131': 'Ecgbert of York', 'Q453676': 'Ecgfrith of Northumbria', 'Q1343094': 'Eni of East Anglia', 'Q4161900': 'Saint Dunod', 'Q322929': 'Two Ewalds', 'Q380961': 'John Foxe', 'Q5537323': 'George Brown (scholar)', 'Q3774081': 'Gracianus Municeps', 'Q6560105': 'Hengist and Horsa', 'Q3820808': 'Renewers of the Church', 'Q272142': 'Æscwine of Wessex', 'Q27670217': 'Martyrology of Usuard', 'Q558197': 'Cearl of Mercia', 'Q363849': 'Ceawlin of Wessex', 'Q5057034': 'Cedda', 'Q19179': 'Ælfric of Eynsham', 'Q271377': 'Ælfric of Eynsham', 'Q271406': 'Ælle of Sussex', 'Q272212': 'Æthelred of Mercia', 'Q170017': 'Æthelstan', 'Q261097': 'Æthelthryth', 'Q272301': 'Æthelwine of Lindsey', 'Q292929': 'Óengus I', 'Q1662957': 'Julian of Eclanum', 'Q378755': 'Áedán mac Gabráin', 'Q468836': 'Rædwald of East Anglia', 'Q1344799': 'Richard of Saint Victor', 'Q272276': 'Æthelwald Moll of Northumbria', 'Q336016': 'Oswald of Northumbria', 'Q7847742': 'Trumbert', 'Q2480764': 'Wihtburh', 'Q271396': 'Ælla of Deira', 'Q1995756': 'Richard of Hexham', 'Q940417': 'Symeon of Durham', 'Q326195': 'Philip de Thaun', 'Q2545179': 'Timeline of the Middle Ages'}",http://www.wikidata.org/entity/Q6581097,male,"['http://www.wikidata.org/entity/Q201788', 'http://www.wikidata.org/entity/Q49757', 'http://www.wikidata.org/entity/Q1234713', 'http://www.wikidata.org/entity/Q1743122', 'http://www.wikidata.org/entity/Q13424456', 'http://www.wikidata.org/entity/Q333634', 'http://www.wikidata.org/entity/Q17166634', 'http://www.wikidata.org/entity/Q36180', 'http://www.wikidata.org/entity/Q24262584']","['translator', 'Bible translator', 'hymnwriter', 'hagiographer', 'poet', 'historian', 'church historian', 'theologian', 'writer']",http://www.wikidata.org/entity/Q1841,Catholicism,0672-01-01T00:00:00Z,0672-01-01T00:00:00Z,0735-01-01T00:00:00Z,0735-01-01T00:00:00Z,http://www.wikidata.org/entity/Q782155,Jarrow,http://www.wikidata.org/entity/Q782155,Jarrow,,,,,,,,,"['P1066', 'P8849', 'P6868', 'P8065', 'P106', 'P1889', 'P6886', 'P7369', 'P4342', 'P7935', 'P1343', 'P9179', 'P511', 'P7796', 'P6302', 'P7865', 'P569', 'P5034', 'P935', 'P8947', 'P227', 'P1580', 'P19', 'P9536', 'P6831', 'P9000', 'P106', 'P1343', 'P6868', 'P411', 'P6327', 'P5478', 'P6126', 'P8980', 'P1412', 'P3126', 'P2977', 'P1343', 'P245', 'P5063', 'P6327', 'P4223', 'P841', 'P9081', 'P6764', 'P2799', 'P3348', 'P8870', 'P1607', 'P569', 'P1263', 'P1375', 'P3762', 'P9626', 'P9678', 'P3280', 'P1015', 'P1343', 'P18', 'P8750', 'P2966', 'P1273', 'P27', 'P7699', 'P7293', 'P1066', 'P2600', 'P1472', 'P1005', 'P31', 'P8366', 'P3222', 'P244', 'P1343', 'P7041', 'P3762', 'P3762', 'P800', 'P5731', 'P7042', 'P18', 'P8750', 'P1017', 'P3762', 'P1695', 'P6706', 'P8080', 'P373', 'P6300', 'P9106', 'P646', 'P1343', 'P9507', 'P1415', 'P8179', 'P106', 'P906', 'P1006', 'P2924', 'P1315', 'P735', 'P269', 'P1442', 'P802', 'P7029', 'P7986', 'P2799', 'P7859', 'P9223', 'P271', 'P1871', 'P535', 'P409', 'P349', 'P3987', 'P9756', 'P1556', 'P2966', 'P6060', 'P611', 'P18', 'P7039', 'P5008', 'P7902', 'P569', 'P9522', 'P411', 'P8750', 'P8636', 'P570', 'P106', 'P1422', 'P5739', 'P1559', 'P5441', 'P7763', 'P2799', 'P4839', 'P106', 'P21', 'P7982', 'P434', 'P9545', 'P7305', 'P9984', 'P6385', 'P1343', 'P10242', 'P8313', 'P1953', 'P10553', 'P8591', 'P10799', 'P10864', 'P9943', 'P5008', 'P1890', 'P11252', 'P106', 'P1280', 'P1368', 'P9223', 'P214', 'P3219', 'P8982', 'P9223', 'P140', 'P8814', 'P6394', 'P691', 'P9017', 'P2163', 'P1816', 'P4212', 'P1802', 'P4286', 'P9062', 'P8566', 'P1343', 'P9223', 'P2734', 'P3430', 'P396', 'P5002', 'P8122', 'P950', 'P8851', 'P3241', 'P106', 'P268', 'P1017', 'P1889', 'P1463', 'P4928', 'P2734', 'P3365', 'P9097', 'P7908', 'P1899', 'P8034', 'P648', 'P3762', 'P106', 'P8795', 'P1233', 'P9282', 'P8334', 'P5587', 'P9661', 'P3348', 'P7038', 'P3630', 'P7666', 'P4629', 'P9164', 'P1711', 'P723', 'P9037', 'P4549', 'P214', 'P214', 'P20', 'P7993', 'P9678', 'P1343', 'P1207', 'P1938', 'P4619', 'P2886', 'P8189', 'P1417', 'P5492', 'P910', 'P411', 'P106', 'P9534', 'P213', 'P3065', 'P7029', 'P1296', 'P6873', 'P1343']","['P4342', 'P7796', 'P5034', 'P227', 'P6126', 'P1263', 'P1472', 'P244', 'P6300', 'P1415', 'P7902', 'P6385', 'P8313', 'P8591', 'P691', 'P1816', 'P4286', 'P8566', 'P4928', 'P1417', 'P5492']",242,21
2,Albinus,Y,https://en.wikipedia.org/wiki/Albinus_(abbot),http://www.wikidata.org/entity/Q16002399,Q16002399,"['en', 'es', 'fr', 'pt']",4,"{'Q1274084': 'Adrian of Canterbury', 'Q154938': 'Bede', 'Q504529': 'Theodore of Tarsus'}",{'Q154938': 'Bede'},http://www.wikidata.org/entity/Q6581097,male,http://www.wikidata.org/entity/Q201788,historian,,,,,0732-01-01T00:00:00Z,0732-01-01T00:00:00Z,,,,,,,,,,,,,"['P39', 'P4223', 'P31', 'P646', 'P214', 'P21', 'P570', 'P3241', 'P227', 'P1415', 'P1871', 'P106', 'P1343', 'P1066']","['P227', 'P1415']",14,2
